model,mode,caseIndex,scenario,seed,variability,landed,reason,score,time,turnDegrees,error,speed,lateral,tilt,positionMargin,speedMargin,lateralMargin,tiltMargin
candidate,covered,26,2,98361025,0.4,False,Flight terminated,-1094.5927858200625,5.4999999999999885,0.302522028267358,,,,,,,,
candidate,covered,27,3,98465754,0.4,False,Flight terminated,-1091.437353791624,5.249999999999989,0.28618516470067057,,,,,,,,
candidate,covered,28,4,98570483,0.4,False,Flight terminated,-1086.8800109463846,5.349999999999989,0.29324800205639534,,,,,,,,
candidate,covered,29,5,98675212,0.4,False,Flight terminated,-1090.425536102539,5.299999999999989,0.2907377097946754,,,,,,,,
candidate,covered,30,6,98779941,0.4,False,Flight terminated,-1093.5789630401996,5.299999999999989,0.293105506097508,,,,,,,,
candidate,covered,31,7,98884670,0.4,False,Flight terminated,-1093.90125263466,5.249999999999989,0.28792397486778387,,,,,,,,
candidate,covered,32,8,98989399,0.4,False,Missed the ship,-568.3935841527452,5.1999999999999895,0.284452851185169,44.95149928584522,60.49844061119673,12.523241967793195,2.5357110784473424,-37.95149928584522,-56.898440611196726,-9.523241967793195,-2.3357110784473423
candidate,covered,33,9,99094128,0.4,False,Flight terminated,-1090.6435196183397,5.14999999999999,0.28064387525390283,,,,,,,,
candidate,covered,34,10,99198857,0.4,False,Flight terminated,-1093.4782456399525,5.399999999999989,0.2956409135727517,,,,,,,,
candidate,covered,35,11,99303586,0.4,False,Flight terminated,-1098.5173463355325,5.449999999999989,0.29971311902690156,,,,,,,,
candidate,covered,36,12,99408315,0.4,False,Flight terminated,-1097.1408197526684,5.399999999999989,0.29669539643137327,,,,,,,,
candidate,covered,37,13,99513044,0.4,False,Flight terminated,-1094.3724753220472,5.349999999999989,0.2957074821441729,,,,,,,,
candidate,covered,38,14,99617773,0.4,False,Missed the ship,-560.5071542078404,4.799999999999991,0.2617345390030329,28.129298378990384,55.061725938207985,8.375276969086489,2.3124113507039183,-17.129298378990384,-51.461725938207984,-5.375276969086489,-2.112411350703918
candidate,covered,39,15,99722502,0.4,False,Flight terminated,-1088.0949195859407,5.249999999999989,0.28672456358034815,,,,,,,,
candidate,covered,40,16,99827231,0.4,False,Flight terminated,-1090.5361334722038,5.249999999999989,0.2878750111634943,,,,,,,,
candidate,covered,41,17,99931960,0.4,False,Flight terminated,-1083.3685717375056,5.14999999999999,18.466415071252,,,,,,,,
candidate,covered,42,18,100036689,0.4,False,Flight terminated,-1125.5257765762856,5.399999999999989,0.2969493003375463,,,,,,,,
candidate,covered,43,19,100141418,0.4,False,Flight terminated,-1089.4627128281675,5.1999999999999895,0.28702605659584374,,,,,,,,
candidate,covered,44,20,100246147,0.4,False,Flight terminated,-1094.6628178001918,5.349999999999989,0.29228653605722005,,,,,,,,
candidate,covered,45,21,100350876,0.4,False,Flight terminated,-1097.5159861193183,5.399999999999989,0.29749108326947077,,,,,,,,
candidate,covered,46,22,100455605,0.4,False,Flight terminated,-1089.7810290955929,5.299999999999989,0.2868296778138618,,,,,,,,
candidate,covered,47,23,100560334,0.4,False,Flight terminated,-1095.4935596205778,5.399999999999989,0.2967857566502611,,,,,,,,
candidate,covered,48,0,100665063,0,False,Missed the ship,-516.9386748050676,3.699999999999995,0.19640772555926517,14.638989284318312,39.10253800812675,6.9681459261978675,1.7924577122785288,-3.6389892843183116,-35.50253800812675,-3.9681459261978675,-1.5924577122785288
candidate,covered,49,1,100769792,0,False,Missed the ship,-573.6769131006126,5.449999999999989,0.2990006567206605,30.230828916548695,57.3352042368721,11.912170473468187,2.609973845899066,-19.230828916548695,-53.7352042368721,-8.912170473468187,-2.409973845899066
candidate,covered,50,2,100874521,0,False,Flight terminated,-1090.8463723754908,5.399999999999989,0.2956302653484389,,,,,,,,
candidate,covered,51,3,100979250,0,False,Flight terminated,-1092.29921571273,5.249999999999989,0.28810319732998013,,,,,,,,
candidate,covered,52,4,101083979,0,False,Flight terminated,-1098.5254944426977,5.249999999999989,0.2861255497274059,,,,,,,,
candidate,covered,53,5,101188708,0,False,Flight terminated,-1086.4459597804628,5.399999999999989,0.2979902714761084,,,,,,,,
candidate,covered,54,6,101293437,0,False,Flight terminated,-1101.3018720728462,5.449999999999989,0.2996225828220529,,,,,,,,
candidate,covered,55,7,101398166,0,False,Flight terminated,-1090.3038139639175,5.14999999999999,0.2796966140375428,,,,,,,,
candidate,covered,56,8,101502895,0,False,Missed the ship,-563.0999384046344,4.849999999999991,0.26376744206566893,26.079973200372404,60.02702092686486,11.29466984980324,2.3715475329677385,-19.079973200372404,-56.427020926864856,-8.29466984980324,-2.1715475329677383
candidate,covered,57,9,101607624,0,False,Flight terminated,-1089.143326834795,5.399999999999989,0.2961976592764622,,,,,,,,
candidate,covered,58,10,101712353,0,False,Flight terminated,-1086.747052697166,5.299999999999989,0.28967522960206077,,,,,,,,
candidate,covered,59,11,101817082,0,False,Flight terminated,-1096.0204184290633,5.399999999999989,0.2971557588043231,,,,,,,,
candidate,covered,60,12,101921811,0,False,Flight terminated,-1089.645858624374,5.399999999999989,0.29788266850908074,,,,,,,,
candidate,covered,61,13,102026540,0,False,Flight terminated,-1091.9297119837922,5.349999999999989,0.29640345775880017,,,,,,,,
candidate,covered,62,14,102131269,0,False,Missed the ship,-561.141668385029,4.449999999999992,0.24090395442478482,17.23792028379324,55.83361883239787,11.389828150539747,2.1636164720693527,-6.23792028379324,-52.233618832397866,-8.389828150539747,-1.9636164720693527
candidate,covered,63,15,102235998,0,False,Missed the ship,-576.369297963619,5.449999999999989,0.2993921854192671,51.17764685572855,64.22733014843153,11.180607492751165,2.6367344344858474,-40.17764685572855,-60.62733014843153,-8.180607492751165,-2.4367344344858473
candidate,covered,64,16,102340727,0,False,Flight terminated,-1101.7040353592765,5.4999999999999885,0.301417797406265,,,,,,,,
candidate,covered,65,17,102445456,0,False,Flight terminated,-1090.7546223825202,5.449999999999989,18.548506557731397,,,,,,,,
candidate,covered,66,18,102550185,0,False,Flight terminated,-1127.8047669791372,5.4999999999999885,0.3011799671780981,,,,,,,,
candidate,covered,67,19,102654914,0,False,Flight terminated,-1098.4725520070324,5.549999999999988,0.30424977954107246,,,,,,,,
candidate,covered,68,20,102759643,0,False,Flight terminated,-1088.7703468714537,5.299999999999989,0.2877958348723926,,,,,,,,
candidate,covered,69,21,102864372,0,False,Flight terminated,-1100.2103952678797,5.449999999999989,0.2990346964656384,,,,,,,,
candidate,covered,70,22,102969101,0,False,Flight terminated,-1092.9101770136942,5.549999999999988,0.3011112622803001,,,,,,,,
candidate,covered,71,23,103073830,0,False,Flight terminated,-1095.6186192120383,5.299999999999989,0.28943218610371446,,,,,,,,
candidate,covered,72,0,103178559,0.4,False,Missed the ship,-519.4418514681116,3.7499999999999947,0.1992748816189678,12.611578276715013,40.41934103633388,6.9997709906027294,1.8134896295207872,-1.6115782767150133,-36.81934103633388,-3.9997709906027294,-1.6134896295207872
candidate,covered,73,1,103283288,0.4,False,Flight terminated,-1084.0101316215785,5.349999999999989,0.2934266181762571,,,,,,,,
candidate,covered,74,2,103388017,0.4,False,Flight terminated,-1093.5956073444793,5.399999999999989,0.29581342433792135,,,,,,,,
candidate,covered,75,3,103492746,0.4,False,Flight terminated,-1084.2526828043738,5.249999999999989,0.28783077811024926,,,,,,,,
candidate,covered,76,4,103597475,0.4,False,Flight terminated,-1088.949208948043,5.349999999999989,0.2935143190407837,,,,,,,,
candidate,covered,77,5,103702204,0.4,False,Flight terminated,-1099.5059895428358,5.349999999999989,0.2957383116511502,,,,,,,,
candidate,covered,78,6,103806933,0.4,False,Flight terminated,-1090.4723166612162,5.4999999999999885,0.3039588691289429,,,,,,,,
candidate,covered,79,7,103911662,0.4,False,Flight terminated,-1099.2025637479976,5.299999999999989,0.2885126334316087,,,,,,,,
candidate,covered,80,8,104016391,0.4,False,Missed the ship,-556.5699989727534,4.849999999999991,0.26379407986000303,13.745172391090847,58.38304840559785,9.07752126459197,2.3541590464988618,-6.745172391090847,-54.783048405597846,-6.0775212645919705,-2.1541590464988616
candidate,covered,81,9,104121120,0.4,False,Flight terminated,-1092.3679730296149,5.449999999999989,0.2992152947499294,,,,,,,,
candidate,covered,82,10,104225849,0.4,False,Flight terminated,-1096.0703995125773,5.449999999999989,0.29876668118471666,,,,,,,,
candidate,covered,83,11,104330578,0.4,False,Flight terminated,-1086.7613435920327,5.449999999999989,0.2991606437910419,,,,,,,,
candidate,covered,84,12,104435307,0.4,False,Flight terminated,-1096.1688581959672,5.4999999999999885,0.3039596048845498,,,,,,,,
candidate,covered,85,13,104540036,0.4,False,Flight terminated,-1085.0536212110326,5.249999999999989,0.2919779115947686,,,,,,,,
candidate,covered,86,14,104644765,0.4,False,Missed the ship,-576.515932271021,4.94999999999999,0.2703467311993327,68.57372224303451,58.60884075053851,12.190645497830745,2.4845840380255058,-57.57372224303451,-55.00884075053851,-9.190645497830745,-2.2845840380255056
candidate,covered,87,15,104749494,0.4,False,Flight terminated,-1096.7224714265787,5.549999999999988,0.3052680773617923,,,,,,,,
candidate,covered,88,16,104854223,0.4,False,Flight terminated,-1107.4519084016088,5.4999999999999885,0.30161305234045266,,,,,,,,
candidate,covered,89,17,104958952,0.4,False,Flight terminated,-1092.3824091511372,5.399999999999989,18.371735767179374,,,,,,,,
candidate,covered,90,18,105063681,0.4,False,Flight terminated,-1129.8720234200177,5.399999999999989,0.2957484206094976,,,,,,,,
candidate,covered,91,19,105168410,0.4,False,Flight terminated,-1096.4213638330705,5.299999999999989,0.29175274919739597,,,,,,,,
candidate,covered,92,20,105273139,0.4,False,Flight terminated,-1091.3586188866877,5.399999999999989,0.29461308793604934,,,,,,,,
candidate,covered,93,21,105377868,0.4,False,Flight terminated,-1087.119624130256,5.299999999999989,0.2889947455289372,,,,,,,,
candidate,covered,94,22,105482597,0.4,False,Flight terminated,-1083.827293408743,5.249999999999989,0.28717100697415887,,,,,,,,
candidate,covered,95,23,105587326,0.4,False,Flight terminated,-1098.0638876132768,5.349999999999989,0.29193205321973714,,,,,,,,
candidate,no-instruments,0,0,95638071,0,False,Flight terminated,-1013.6214846525149,1.5500000000000007,-0.011452775100470877,,,,,,,,
candidate,no-instruments,1,1,95742800,0,False,Flight terminated,-1015.6158708190765,1.5500000000000007,-0.009064278323648828,,,,,,,,
candidate,no-instruments,2,2,95847529,0,False,Flight terminated,-1012.3256650794976,1.5500000000000007,-0.011651934404263828,,,,,,,,
candidate,no-instruments,3,3,95952258,0,False,Flight terminated,-1012.2142537799753,1.5500000000000007,-0.012250993250902177,,,,,,,,
candidate,no-instruments,4,4,96056987,0,False,Flight terminated,-1014.0058549157314,1.5500000000000007,-0.009561501141943315,,,,,,,,
candidate,no-instruments,5,5,96161716,0,False,Flight terminated,-1013.5604741605978,1.5500000000000007,-0.010103645713825543,,,,,,,,
candidate,no-instruments,6,6,96266445,0,False,Flight terminated,-1014.0273341156812,1.6000000000000008,-0.011496610972824502,,,,,,,,
candidate,no-instruments,7,7,96371174,0,False,Flight terminated,-1013.0235667673581,1.5500000000000007,-0.00972153785344574,,,,,,,,
candidate,no-instruments,8,8,96475903,0,False,Flight terminated,-1012.5137964868652,1.5500000000000007,-0.011521082834882847,,,,,,,,
candidate,no-instruments,9,9,96580632,0,False,Flight terminated,-1013.3443591401541,1.5500000000000007,-0.011606337616567557,,,,,,,,
candidate,no-instruments,10,10,96685361,0,False,Flight terminated,-1011.9488131205055,1.5500000000000007,-0.011868074163326654,,,,,,,,
candidate,no-instruments,11,11,96790090,0,False,Flight terminated,-1011.837379998682,1.5500000000000007,-0.011617113081111248,,,,,,,,
candidate,no-instruments,12,12,96894819,0,False,Flight terminated,-1012.1534919560478,1.5500000000000007,-0.011670398531718282,,,,,,,,
candidate,no-instruments,13,13,96999548,0,False,Flight terminated,-1011.8373982424877,1.5500000000000007,-0.011855599565824786,,,,,,,,
candidate,no-instruments,14,14,97104277,0,False,Flight terminated,-1010.4569651184519,1.5500000000000007,-0.01197501280827169,,,,,,,,
candidate,no-instruments,15,15,97209006,0,False,Flight terminated,-1012.1302865615646,1.6000000000000008,-0.010543543448724112,,,,,,,,
candidate,no-instruments,16,16,97313735,0,False,Flight terminated,-1014.4583428133681,1.5500000000000007,-0.01285517531629949,,,,,,,,
candidate,no-instruments,17,17,97418464,0,False,Flight terminated,-1014.5506160471119,1.5500000000000007,17.98763515515093,,,,,,,,
candidate,no-instruments,18,18,97523193,0,False,Flight terminated,-1010.5166935806974,1.5500000000000007,-0.011473738949942903,,,,,,,,
candidate,no-instruments,19,19,97627922,0,False,Flight terminated,-1013.4343286970881,1.5500000000000007,-0.00985820980615077,,,,,,,,
candidate,no-instruments,20,20,97732651,0,False,Flight terminated,-1012.7586345409745,1.5500000000000007,-0.011589479091560191,,,,,,,,
candidate,no-instruments,21,21,97837380,0,False,Flight terminated,-1013.4065673011431,1.5500000000000007,-0.011713460847320964,,,,,,,,
candidate,no-instruments,22,22,97942109,0,False,Flight terminated,-1012.239246861577,1.5500000000000007,-0.009758194019212154,,,,,,,,
candidate,no-instruments,23,23,98046838,0,False,Flight terminated,-1013.6239447042168,1.5500000000000007,-0.010361766631209563,,,,,,,,
candidate,no-instruments,24,0,98151567,0.4,False,Flight terminated,-1015.0562986808093,1.5500000000000007,-0.010509064635002485,,,,,,,,
candidate,no-instruments,25,1,98256296,0.4,False,Flight terminated,-1013.1291885065903,1.5500000000000007,-0.012134700953710859,,,,,,,,
candidate,no-instruments,26,2,98361025,0.4,False,Flight terminated,-1012.1240760488471,1.5500000000000007,-0.012503290677228752,,,,,,,,
candidate,no-instruments,27,3,98465754,0.4,False,Flight terminated,-1013.5297793228024,1.5500000000000007,-0.011650290681873867,,,,,,,,
candidate,no-instruments,28,4,98570483,0.4,False,Flight terminated,-1014.7458783758874,1.5500000000000007,-0.009007762505514444,,,,,,,,
candidate,no-instruments,29,5,98675212,0.4,False,Flight terminated,-1014.1154109676708,1.5500000000000007,-0.00969785399595906,,,,,,,,
candidate,no-instruments,30,6,98779941,0.4,False,Flight terminated,-1012.4527098489607,1.5500000000000007,-0.010621345981978092,,,,,,,,
